"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,78.6134672181951,78.7635536249564,151,1.00666666666667,1,31445.3868872781
2,70.0294209369486,76.5718419400341,126,0.84,26,28011.7683747794
3,69.9325623922674,76.5461609926793,126,0.84,26,27973.024956907
4,69.9351011339918,76.5574423854395,126,0.84,26,27974.0404535967
5,69.9358729240293,76.5595282582808,126,0.84,26,27974.3491696117
6,69.9353952578151,76.5543252343199,126,0.84,26,27974.158103126
7,69.9394436724185,76.5598737112712,126,0.84,26,27975.7774689674
8,69.9268588580466,76.5491572861049,126,0.84,26,27970.7435432187
9,69.9389789951465,76.5664681244953,126,0.84,26,27975.5915980586
10,69.9318774337859,76.5711475526865,126,0.84,26,27972.7509735144
11,7.65000572429446,7.65000572429446,0,0,NA,3060.00228971778
